"SITEID","key","mean"
1,"BIRTHWT",3.22712567399419
1,"CHLDADLT",1.21413403961308
1,"CHLDDR",0.650658682634731
1,"CRWDINDX",2.93028078708822
1,"DURBRST",6.36200958133722
1,"FAGE",29.6301236174366
1,"FEDUCYRS",6.94632300780326
1,"FEEDINGN",0.922099562591127
1,"FSMAGE",22.8344553243574
1,"GAGEBRTH",275.478676660636
1,"H2OAVAIL",1.7271719858156
1,"HCACCESS",0.54269801980198
1,"HCUTILIZ",1.01019729549989
1,"INCTOT",2.48060633080696
1,"MAGE",25.9459459459459
1,"MATEMPQT",2.39607007575758
1,"MEDUCYRS",6.58044554455446
1,"MHTCM",156.529670790522
1,"MMARITN",1.3696056163535
1,"NPERSON",4.67145699756799
1,"NROOMS",3.72827769179748
1,"PRTY",2.08933360841758
1,"RACEN",4.6274354923644
1,"SANITATN",1.78996241432677
1,"SESN",47.9587765957447
1,"SEXN",1.48102310231023
1,"SMOKED",0.35240464344942
2,"BIRTHLEN",49.8108225108225
2,"BIRTHWT",3.04358709677419
2,"CHLDADLT",2.55808810572687
2,"CHLDDR",1.12843171806167
2,"CRWDINDX",4.38383333333333
2,"DURBRST",17.0660602469136
2,"FAGE",33.0351791530945
2,"FEDUCYRS",1.70151306740028
2,"FEEDINGN",0.995505617977528
2,"FHTCM",160.836270190896
2,"FSMAGE",19.0309405940594
2,"GAGEBRTH",275.288659793814
2,"H2OAVAIL",0.790619765494137
2,"HCACCESS",0.550183598531212
2,"HCUTILIZ",1.03488372093023
2,"MAGE",27.1267779839208
2,"MATEMPQT",2.46118721461187
2,"MEDUCYRS",1.36123348017621
2,"MHTCM",148.555473372781
2,"MMARITN",1.4375
2,"NADULTF",1.13651591289782
2,"NADULTM",1.12060301507538
2,"NCHLD",4.91038525963149
2,"NFCHILD",2.38358458961474
2,"NMCHILD",2.52680067001675
2,"PRTY",3.07673267326733
2,"SANITATN",0.174204355108878
2,"SESN",50.0558882235529
2,"SEXN",1.47796817625459
3,"BIRTHLEN",48.2498887122417
3,"BIRTHWT",2.7945301542777
3,"CHLDADLT",1.28692486895748
3,"CRWDINDX",4.405495915986
3,"DLVLOCN",2.45824763471822
3,"FEDUCYRS",10.8088986141503
3,"FEEDINGN",0.998530492285085
3,"FSMAGE",19.9024447578749
3,"GAGEBRTH",272.0476556495
3,"H2OAVAIL",1.16521063871093
3,"HCACCESS",1
3,"HCUTILIZ",1.11406769712385
3,"HOMETYPE",2.34505537206139
3,"INCTOT",2.48815073815074
3,"MAGE",25.9054080629302
3,"MATEMPQT",1.2005441119316
3,"MEDUCYRS",5.30701911055546
3,"MHTCM",152.040722495895
3,"MMARITN",1.0077654824306
3,"NADULTF",1.2677150067948
3,"NADULTM",1.30285381479324
3,"NCHLD",2.98835177635411
3,"NFCHILD",1.49660260143661
3,"NMCHILD",1.49174917491749
3,"NROOMS",1.42551536367172
3,"PRTY",2.73658096526838
3,"SANITATN",1.14582524271845
3,"SESN",39.1375218829022
3,"SEXN",1.48252536640361
4,"BIRTHLEN",49.0472850678733
4,"BIRTHWT",2.98523900573614
4,"CHLDADLT",1.49766654121189
4,"CHLDDR",0.913549115543846
4,"CRWDINDX",3.15225272658894
4,"DURBRST",12.4738075872534
4,"FAGE",29.0903426791277
4,"FEDUCYRS",7.38467677573823
4,"FEEDINGN",0.937405159332322
4,"FSMAGE",20.9199819168174
4,"GAGEBRTH",271.145730550285
4,"H2OAVAIL",0.99548532731377
4,"HCACCESS",0.831891688604739
4,"HCUTILIZ",0.643962848297214
4,"INCTOT",2.50511557408109
4,"MAGE",26.3350883790899
4,"MATEMPQT",2.35247208931419
4,"MEDUCYRS",7.11282437006393
4,"MHTCM",150.572019556224
4,"MMARITN",1.12566641279513
4,"NADULTF",1.48326438510718
4,"NADULTM",1.42610003760812
4,"NCHLD",3.73260624294848
4,"NFCHILD",1.84242196314404
4,"NMCHILD",1.89018427980444
4,"PRTY",2.70665663783377
4,"SANITATN",0.727238525206922
4,"SESN",48.3171557562077
4,"SEXN",1.4712297856337
4,"SMOKED",0.134637081609628
5,"BIRTHWT",3.07035175879397
5,"CHLDADLT",0.867849233390119
5,"CHLDDR",0.49106644332775
5,"CRWDINDX",3.29738913801694
5,"DURBRST",11.8907268224819
5,"FEDUCYRS",10.6523695260948
5,"FEEDINGN",0.941452991452991
5,"FSMAGE",20.9755700325733
5,"GAGEBRTH",266.981927710843
5,"H2OAVAIL",1.79208472686734
5,"HCACCESS",0.888673139158576
5,"HCUTILIZ",1.13019390581717
5,"INCTOT",2.33235938641344
5,"MAGE",25.8914501257334
5,"MATEMPQT",2.28835489833641
5,"MEDUCYRS",9.6189010989011
5,"MHTCM",158.735483870968
5,"MMARITN",3.9827150084317
5,"NADULTF",2.1841958820256
5,"NADULTM",1.37506956037841
5,"NCHLD",2.55314412910406
5,"NFCHILD",1.30829159710629
5,"NMCHILD",1.24485253199777
5,"PRTY",2.11892797319933
5,"SANITATN",1.99106145251397
5,"SESN",50.4343620451405
5,"SEXN",1.51884422110553
5,"SMOKED",0.0599315068493151
